GO Term,Description,P-value,FDR q-value,Enrichment,N,B,n,b,Genes
GO:0045596,negative regulation of cell differentiation,9.62E-08,1.27E-04,4.63,12835,597,79,17,"[Suz12  -  suppressor of zeste 12 homolog (drosophila), Nrg3  -  neuregulin 3, Meis2  -  meis homeobox 2, Fat3  -  fat tumor suppressor homolog 3 (drosophila), Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Dleu2  -  deleted in lymphocytic leukemia, 2, Foxp4  -  forkhead box p4, Dlx1  -  distal-less homeobox 1, Gli2  -  gli-kruppel family member gli2, Epha3  -  eph receptor a3, Nrg1  -  neuregulin 1, Sox6  -  sry-box containing gene 6, Bcl11a  -  b cell cll/lymphoma 11a (zinc finger protein), Pbx1  -  pre b cell leukemia homeobox 1, Cdk6  -  cyclin-dependent kinase 6, Sfrp1  -  secreted frizzled-related protein 1, Ascl1  -  achaete-scute complex homolog 1 (drosophila)]"
GO:0030154,cell differentiation,1.91E-07,2.31E-04,2.87,12835,1531,79,27,"[Nfib  -  nuclear factor i/b, Bcl11b  -  b cell leukemia/lymphoma 11b, Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Pdgfra  -  platelet derived growth factor receptor, alpha polypeptide, Dlx1  -  distal-less homeobox 1, Rps3a1  -  ribosomal protein s3a1, Cdon  -  cell adhesion molecule-related/down-regulated by oncogenes, Mllt3  -  myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, drosophila); translocated to, 3, Sox6  -  sry-box containing gene 6, Tcf4  -  transcription factor 4, Pbx1  -  pre b cell leukemia homeobox 1, Rai14  -  retinoic acid induced 14, Kcnma1  -  potassium large conductance calcium-activated channel, subfamily m, alpha member 1, Cdk6  -  cyclin-dependent kinase 6, Ascl1  -  achaete-scute complex homolog 1 (drosophila), Suz12  -  suppressor of zeste 12 homolog (drosophila), Heg1  -  heg homolog 1 (zebrafish), Foxp4  -  forkhead box p4, Tead2  -  tea domain family member 2, Cdc20  -  cell division cycle 20, Gli2  -  gli-kruppel family member gli2, Nrg1  -  neuregulin 1, Msn  -  moesin, Bcl11a  -  b cell cll/lymphoma 11a (zinc finger protein), Sfrp1  -  secreted frizzled-related protein 1, Basp1  -  brain abundant, membrane attached signal protein 1, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog]"
GO:0051239,regulation of multicellular organismal process,1.95E-07,2.17E-04,2.34,12835,2427,79,35,"[Nfib  -  nuclear factor i/b, Meis2  -  meis homeobox 2, Bcl11b  -  b cell leukemia/lymphoma 11b, Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Pdgfra  -  platelet derived growth factor receptor, alpha polypeptide, Dlx1  -  distal-less homeobox 1, Dleu2  -  deleted in lymphocytic leukemia, 2, Cdon  -  cell adhesion molecule-related/down-regulated by oncogenes, Boc  -  biregional cell adhesion molecule-related/down-regulated by oncogenes (cdon) binding protein, Mllt3  -  myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, drosophila); translocated to, 3, Sox6  -  sry-box containing gene 6, Tcf4  -  transcription factor 4, Pbx1  -  pre b cell leukemia homeobox 1, Kcnma1  -  potassium large conductance calcium-activated channel, subfamily m, alpha member 1, Cdk6  -  cyclin-dependent kinase 6, Zbtb20  -  zinc finger and btb domain containing 20, Ascl1  -  achaete-scute complex homolog 1 (drosophila), Suz12  -  suppressor of zeste 12 homolog (drosophila), Heg1  -  heg homolog 1 (zebrafish), Nrg3  -  neuregulin 3, Iqgap3  -  iq motif containing gtpase activating protein 3, Fat3  -  fat tumor suppressor homolog 3 (drosophila), Foxp4  -  forkhead box p4, Gli2  -  gli-kruppel family member gli2, Cdc20  -  cell division cycle 20, Epha3  -  eph receptor a3, Abcd2  -  atp-binding cassette, sub-family d (ald), member 2, Nrg1  -  neuregulin 1, Plxna2  -  plexin a2, Celsr1  -  cadherin, egf lag seven-pass g-type receptor 1 (flamingo homolog, drosophila), Gpc4  -  glypican 4, Bcl11a  -  b cell cll/lymphoma 11a (zinc finger protein), Clstn2  -  calsyntenin 2, Sfrp1  -  secreted frizzled-related protein 1, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog]"
GO:0007275,multicellular organism development,4.14E-07,4.29E-04,3.41,12835,1001,79,21,"[Heg1  -  heg homolog 1 (zebrafish), Meg3  -  maternally expressed 3, Meis2  -  meis homeobox 2, Zbtb18  -  zinc finger and btb domain containing 18, Etl4  -  enhancer trap locus 4, Fat3  -  fat tumor suppressor homolog 3 (drosophila), Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Pdgfra  -  platelet derived growth factor receptor, alpha polypeptide, Dlx1  -  distal-less homeobox 1, Gli2  -  gli-kruppel family member gli2, Epha3  -  eph receptor a3, Epha5  -  eph receptor a5, Celsr1  -  cadherin, egf lag seven-pass g-type receptor 1 (flamingo homolog, drosophila), Ctnnd2  -  catenin (cadherin associated protein), delta 2, Cdh8  -  cadherin 8, Sox6  -  sry-box containing gene 6, Tcf4  -  transcription factor 4, Pbx1  -  pre b cell leukemia homeobox 1, Sfrp1  -  secreted frizzled-related protein 1, Satb2  -  special at-rich sequence binding protein 2, Ascl1  -  achaete-scute complex homolog 1 (drosophila)]"
GO:0045595,regulation of cell differentiation,5.25E-07,5.07E-04,2.81,12835,1504,79,26,"[Meis2  -  meis homeobox 2, Bcl11b  -  b cell leukemia/lymphoma 11b, Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Pdgfra  -  platelet derived growth factor receptor, alpha polypeptide, Dleu2  -  deleted in lymphocytic leukemia, 2, Dlx1  -  distal-less homeobox 1, Boc  -  biregional cell adhesion molecule-related/down-regulated by oncogenes (cdon) binding protein, Cdon  -  cell adhesion molecule-related/down-regulated by oncogenes, Sox6  -  sry-box containing gene 6, Tcf4  -  transcription factor 4, Pbx1  -  pre b cell leukemia homeobox 1, Cdk6  -  cyclin-dependent kinase 6, Ascl1  -  achaete-scute complex homolog 1 (drosophila), Suz12  -  suppressor of zeste 12 homolog (drosophila), Nrg3  -  neuregulin 3, Fat3  -  fat tumor suppressor homolog 3 (drosophila), Foxp4  -  forkhead box p4, Tead2  -  tea domain family member 2, Cdc20  -  cell division cycle 20, Gli2  -  gli-kruppel family member gli2, Epha3  -  eph receptor a3, Nrg1  -  neuregulin 1, Plxna2  -  plexin a2, Bcl11a  -  b cell cll/lymphoma 11a (zinc finger protein), Sfrp1  -  secreted frizzled-related protein 1, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog]"
GO:0051960,regulation of nervous system development,5.49E-07,4.97E-04,3.5,12835,928,79,20,"[Nrg3  -  neuregulin 3, Bcl11b  -  b cell leukemia/lymphoma 11b, Fat3  -  fat tumor suppressor homolog 3 (drosophila), Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Dleu2  -  deleted in lymphocytic leukemia, 2, Dlx1  -  distal-less homeobox 1, Cdc20  -  cell division cycle 20, Gli2  -  gli-kruppel family member gli2, Epha3  -  eph receptor a3, Nrg1  -  neuregulin 1, Cdon  -  cell adhesion molecule-related/down-regulated by oncogenes, Plxna2  -  plexin a2, Celsr1  -  cadherin, egf lag seven-pass g-type receptor 1 (flamingo homolog, drosophila), Gpc4  -  glypican 4, Bcl11a  -  b cell cll/lymphoma 11a (zinc finger protein), Tcf4  -  transcription factor 4, Pbx1  -  pre b cell leukemia homeobox 1, Clstn2  -  calsyntenin 2, Sfrp1  -  secreted frizzled-related protein 1, Ascl1  -  achaete-scute complex homolog 1 (drosophila)]"
GO:0048731,system development,9.72E-07,8.29E-04,4.17,12835,623,79,16,"[Heg1  -  heg homolog 1 (zebrafish), Nrg3  -  neuregulin 3, Etl4  -  enhancer trap locus 4, Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Pdgfra  -  platelet derived growth factor receptor, alpha polypeptide, Dlx1  -  distal-less homeobox 1, Cdc20  -  cell division cycle 20, Gli2  -  gli-kruppel family member gli2, Dscaml1  -  down syndrome cell adhesion molecule like 1, Epha5  -  eph receptor a5, Nrg1  -  neuregulin 1, Plxna2  -  plexin a2, Sox6  -  sry-box containing gene 6, Tcf4  -  transcription factor 4, Pbx1  -  pre b cell leukemia homeobox 1, Ascl1  -  achaete-scute complex homolog 1 (drosophila)]"
GO:0045165,cell fate commitment,1.69E-06,1.36E-03,9.63,12835,135,79,8,"[Nrg1  -  neuregulin 1, Sox6  -  sry-box containing gene 6, Bcl11b  -  b cell leukemia/lymphoma 11b, Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Dlx1  -  distal-less homeobox 1, Satb2  -  special at-rich sequence binding protein 2, Sfrp1  -  secreted frizzled-related protein 1, Ascl1  -  achaete-scute complex homolog 1 (drosophila)]"
GO:0030855,epithelial cell differentiation,1.83E-06,1.39E-03,7.95,12835,184,79,9,"[Nfib  -  nuclear factor i/b, Msn  -  moesin, Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Kcnma1  -  potassium large conductance calcium-activated channel, subfamily m, alpha member 1, Foxp4  -  forkhead box p4, Gli2  -  gli-kruppel family member gli2, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog, Basp1  -  brain abundant, membrane attached signal protein 1, Ascl1  -  achaete-scute complex homolog 1 (drosophila)]"
GO:0007155,cell adhesion,2.15E-06,1.55E-03,4.19,12835,582,79,15,"[Fat3  -  fat tumor suppressor homolog 3 (drosophila), Pdgfra  -  platelet derived growth factor receptor, alpha polypeptide, Epha3  -  eph receptor a3, Dscaml1  -  down syndrome cell adhesion molecule like 1, Pcdh11x  -  protocadherin 11 x-linked, Msn  -  moesin, Cdon  -  cell adhesion molecule-related/down-regulated by oncogenes, Boc  -  biregional cell adhesion molecule-related/down-regulated by oncogenes (cdon) binding protein, Ctnnd2  -  catenin (cadherin associated protein), delta 2, Celsr1  -  cadherin, egf lag seven-pass g-type receptor 1 (flamingo homolog, drosophila), Gpc4  -  glypican 4, Cdh8  -  cadherin 8, Rpsa  -  ribosomal protein sa, Clstn2  -  calsyntenin 2, Sfrp1  -  secreted frizzled-related protein 1]"
GO:0048663,neuron fate commitment,2.18E-06,1.51E-03,23.21,12835,35,79,5,"[Nrg1  -  neuregulin 1, Bcl11b  -  b cell leukemia/lymphoma 11b, Dlx1  -  distal-less homeobox 1, Satb2  -  special at-rich sequence binding protein 2, Ascl1  -  achaete-scute complex homolog 1 (drosophila)]"
GO:0022610,biological adhesion,2.24E-06,1.47E-03,4.17,12835,584,79,15,"[Fat3  -  fat tumor suppressor homolog 3 (drosophila), Pdgfra  -  platelet derived growth factor receptor, alpha polypeptide, Epha3  -  eph receptor a3, Dscaml1  -  down syndrome cell adhesion molecule like 1, Pcdh11x  -  protocadherin 11 x-linked, Msn  -  moesin, Cdon  -  cell adhesion molecule-related/down-regulated by oncogenes, Boc  -  biregional cell adhesion molecule-related/down-regulated by oncogenes (cdon) binding protein, Ctnnd2  -  catenin (cadherin associated protein), delta 2, Celsr1  -  cadherin, egf lag seven-pass g-type receptor 1 (flamingo homolog, drosophila), Gpc4  -  glypican 4, Cdh8  -  cadherin 8, Rpsa  -  ribosomal protein sa, Clstn2  -  calsyntenin 2, Sfrp1  -  secreted frizzled-related protein 1]"
GO:0021902,commitment of neuronal cell to specific neuron type in forebrain,4.43E-06,2.79E-03,81.23,12835,6,79,3,"[Bcl11b  -  b cell leukemia/lymphoma 11b, Satb2  -  special at-rich sequence binding protein 2, Ascl1  -  achaete-scute complex homolog 1 (drosophila)]"
GO:0048598,embryonic morphogenesis,4.78E-06,2.88E-03,5.47,12835,327,79,11,"[Cdon  -  cell adhesion molecule-related/down-regulated by oncogenes, Celsr1  -  cadherin, egf lag seven-pass g-type receptor 1 (flamingo homolog, drosophila), Aff3  -  af4/fmr2 family, member 3, Pbx1  -  pre b cell leukemia homeobox 1, Pdgfra  -  platelet derived growth factor receptor, alpha polypeptide, Foxp4  -  forkhead box p4, Satb2  -  special at-rich sequence binding protein 2, Tead2  -  tea domain family member 2, Sfrp1  -  secreted frizzled-related protein 1, Gli2  -  gli-kruppel family member gli2, Dscaml1  -  down syndrome cell adhesion molecule like 1]"
GO:0009952,anterior/posterior pattern specification,4.89E-06,2.83E-03,10.34,12835,110,79,7,"[Cdon  -  cell adhesion molecule-related/down-regulated by oncogenes, Mllt3  -  myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, drosophila); translocated to, 3, Plxna2  -  plexin a2, Celsr1  -  cadherin, egf lag seven-pass g-type receptor 1 (flamingo homolog, drosophila), Pbx1  -  pre b cell leukemia homeobox 1, Sfrp1  -  secreted frizzled-related protein 1, Gli2  -  gli-kruppel family member gli2]"
GO:0009888,tissue development,6.14E-06,3.42E-03,4.43,12835,477,79,13,"[Heg1  -  heg homolog 1 (zebrafish), Meg3  -  maternally expressed 3, Zbtb18  -  zinc finger and btb domain containing 18, Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Tead2  -  tea domain family member 2, Gli2  -  gli-kruppel family member gli2, Epha3  -  eph receptor a3, Nrg1  -  neuregulin 1, Kank2  -  kn motif and ankyrin repeat domains 2, Itpk1  -  inositol 1,3,4-triphosphate 5/6 kinase, Plxna2  -  plexin a2, Sfrp1  -  secreted frizzled-related protein 1, Ascl1  -  achaete-scute complex homolog 1 (drosophila)]"
